Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.583,0.0617,45.7RG,7.12RG,1.12RG,10.12RG,4.12RG,6.12,2.12,52.1,11.12,163.3,,,,,,,,,,,,,,,7,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0.0985,9.8RG,12.8RG,2.8RG,3.8,,,,,,,,,,,,,,,,,,,,,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0.0821,53.7RG,174.5RG,47.2RG,,,,,,,,,,,,,,,,,,,,,,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.776,0.0809,189.3RG,192.3RG,125.2RG,199.3RG,194.2RG,176.3RG,98.5RG,130.3RG,85.3RG,,,,,,,,,,,,,,,,3,3,2,3,2,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0.0984,101.7RG,101.6RG,152.2RG,77.7RG,4.13,,,,,,,,,,,,,,,,,,,,7,6,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.4583,0.0361,80.5RG,74.2RG,119.6RG,60.2,,,,,,,,,,,,,,,,,,,,,5,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0.0982,21.7RG,112.6RG,17.14RG,16.7RG,,,,,,,,,,,,,,,,,,,,,7,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0.5828,179.3RG,184.3RG,178.3RG,112.3RG,158.3RG,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0.1056,22.11RG,50.1RG,192.2RG,108.6,,,,,,,,,,,,,,,,,,,,,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0.1516,65.2RG,134.2RG,10.2RG,95.1RG,152.5RG,144.5RG,9.4RG,216.2RG,11.14RG,196.2RG,206.2RG,,,,,,,,,,,,,,2,2,2,1,5,5,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0.1439,103.7RG,35.7RG,209.2RG,182.2RG,,,,,,,,,,,,,,,,,,,,,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0.0976,25.14RG,142.5RG,5.8RG,197.5RG,61.6RG,4.14RG,91.7,208.2,37.6,244.2,205.2,,,,,,,,,,,,,,1,5,8,5,6,1,7,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.6141,0.0606,20.6RG,15.9RG,247.2,34.2,23.15,16.15,,,,,,,,,,,,,,,,,,,6,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0.0992,89.7RG,20.7RG,43.1RG,150.3RG,89.2,1.6,,,,,,,,,,,,,,,,,,,7,7,1,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
