oldfam,,,,,,,,,,,,,,
80,0.0429,0.0044,423.2RGQL,69.2RGQL,263.2QL,,,,,,,,,
81,0.8771,0.1588,169.2RGQL,146.2QL,225.2QL,53.2QL,521.2QL,29.2QL,,,,,,
82,1,0.09,459.2RGQL,348.2RGQL,492.2QL,483.2QL,,,,,,,,
83,1,0.1058,443.2RGQL,307.2RGQL,475.2QL,410.2QL,,,,,,,,
84,0.6961,0.0864,93.2RGQL,75.2RGQL,299.2RGQL,285.2QL,,,,,,,,
85,0.8985,0.0878,101.2RGQL,520.2QL,460.2QL,175.2QL,39.2QL,,,,,,,
86,1,0.0978,406.2RGQL,426.2QL,211.2QL,372.2QL,,,,,,,,
87,1,0.0971,494.2RGQL,427.2QL,490.2QL,391.2QL,,,,,,,,
88,0.6878,0.2167,303.2RGQL,56.2QL,97.2QL,28.2QL,179.2QL,378.2QL,390.2QL,,,,,
89,1,0.0396,42.2RGQL,325.2QL,305.2QL,356.2QL,220.2QL,,,,,,,
90,1,0.0713,86.2RGQL,,,,,,,,,,,
91,0.9758,0.0936,160.2RGQL,487.2RGQL,489.2QL,36.2QL,514.2QL,,,,,,,
92,0.7943,0.0974,164.2RGQL,350.2QL,435.2QL,518.2QL,133.2QL,,,,,,,
93,1,0.1178,472.2RGQL,402.2RGQL,338.2QL,90.2QL,115.2QL,183.2QL,436.2QL,,,,,
94,1,0.1474,269.2RGQL,302.2RGQL,422.2QL,131.2QL,138.2QL,,,,,,,
95,0.993,0.0993,501.2RGQL,61.2RGQL,84.2QL,247.2QL,449.2QL,,,,,,,
96,1,0.1158,114.2RGQL,70.2QL,104.2QL,3.2QL,82.2QL,83.2QL,,,,,,
97,1,0.0451,113.2RGQL,107.2QL,241.2QL,255.2QL,,,,,,,,
98,1,0.0982,541.2RGQL,135.2QL,288.2QL,438.2QL,,,,,,,,
99,1,0.0868,293.2QL,54.2QL,,,,,,,,,,
100,0.9964,0.1407,173.2QL,11.2QL,151.2QL,415.2QL,306.2QL,286.2QL,,,,,,
101,1,0.1239,336.2QL,139.2QL,470.2QL,187.2QL,457.2QL,,,,,,,
102,1,0.1045,539.2QL,147.2QL,143.2QL,6.2QL,,,,,,,,
103,0.1484,0.0143,185.2QL,527.2QL,352.2QL,,,,,,,,,
104,1,0.0758,497.2QL,525.2QL,418.2QL,204.2QL,,,,,,,,
105,0.7376,0.0724,55.2QL,384.2QL,78.2QL,25.2QL,547.2QL,16.2QL,19.2QL,60.2QL,,,,
106,1,0.0977,529.2QL,366.2QL,194.2QL,227.2QL,467.2QL,,,,,,,
107,1,0.0974,20.2QL,395.2QL,109.2QL,377.2QL,,,,,,,,
108,0.6541,0.064,448.2QL,451.2QL,4.2QL,301.2QL,,,,,,,,
109,1,0.1087,417.2QL,206.2QL,119.2QL,2.2QL,530.2QL,385.2QL,,,,,,
110,0.9368,0.1217,333.2QL,461.2QL,9.2QL,184.2QL,199.2QL,21.2QL,207.2QL,312.2QL,462.2QL,,,
111,1,0.1023,488.2QL,342.2QL,447.2QL,528.2QL,65.2QL,,,,,,,
112,0.5143,0.0475,259.2QL,502.2QL,67.2QL,49.2QL,,,,,,,,
113,1,0.0657,412.2QL,419.2QL,374.2QL,251.2QL,,,,,,,,
114,0.9994,0.0916,442.2QL,217.2QL,45.2QL,,,,,,,,,
115,1,0.1403,40.2QL,416.2QL,232.2QL,376.2QL,414.2QL,142.2QL,344.2QL,261.2QL,505.2QL,,,
116,0.988,0.0971,515.2QL,171.2QL,192.2QL,326.2QL,323.2QL,157.2QL,382.2QL,244.2QL,,,,
117,0.9994,0.0979,431.2QL,228.2QL,38.2QL,429.2QL,337.2QL,,,,,,,
118,1,0.105,262.2QL,7.2QL,170.2QL,12.2QL,118.2QL,480.2QL,,,,,,
119,1,0.0026,522.2QL,,,,,,,,,,,
120,0.5728,0.0041,125.2QL,98.2QL,190.2QL,66.2QL,479.2QL,148.2QL,364.2QL,,,,,
