0.0, (['150.1RGSYD8', '157.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '3.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '16.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '28.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '70.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '74.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['2.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '16.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '28.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '70.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '74.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['3.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '28.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '70.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '74.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['16.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '70.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '74.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '91.1RGSYD8'], 2018)
