oldfam,,,,,,,,,,
63,0.0836,0.5,114.1RGQL,70.1RGQL,199.1QL,229.1QL,48.1QL,,,
64,0.1525,0.5,183.1RGQL,421.1RGQL,515.1RGQL,63.1QL,212.1QL,144.1QL,321.1QL,
65,0.0847,0.5,206.1RGQL,128.1QL,,,,,,
66,0.0978,0.5,207.1RGQL,62.1QL,432.1QL,,,,,
67,0.2169,0.5,239.1RGQL,230.1RGQL,94.1QL,93.1QL,123.1QL,151.1QL,261.1QL,
68,0.2354,0.5,168.1RGQL,521.1RGQL,444.1RGQL,372.1RGQL,169.1QL,,,
69,0.4372,0.5,464.1RGQL,436.1RGQL,284.1QL,380.1QL,143.1QL,,,
70,0.0961,0.5,84.1RGQL,8.1QL,223.1QL,,,,,
71,0.1126,0.5,509.1RGQL,270.1RGQL,137.1QL,81.1QL,327.1QL,,,
72,0.1146,0.5,279.1RGQL,455.1QL,445.1QL,171.1QL,,,,
73,0.2695,0.5,461.1RGQL,458.1RGQL,256.1RGQL,180.1RGQL,356.1QL,254.1QL,,
74,0.0993,0.5,437.1RGQL,433.1RGQL,367.1QL,49.1QL,211.1QL,262.1QL,,
75,0.1984,0.5,429.1RGQL,520.1QL,411.1QL,518.1QL,149.1QL,,,
76,0.1231,0.5,192.1RGQL,472.1RGQL,126.1QL,309.1QL,484.1QL,486.1QL,236.1QL,
77,0.7722,0.5,246.1RGQL,227.1RGQL,423.1QL,232.1QL,,,,
78,0.5602,0.5,82.1RGQL,194.1RGQL,413.1RGQL,371.1QL,265.1QL,,,
79,0.1762,0.5,396.1RGQL,197.1RGQL,260.1RGQL,435.1QL,,,,
80,0.0781,0.5,258.1RGQL,477.1QL,156.1QL,,,,,
81,0.1537,0.5,253.1RGQL,364.1RGQL,333.1RGQL,441.1RGQL,456.1QL,,,
82,0.0819,0.5,305.1RGQL,170.1RGQL,224.1RGQL,336.1QL,,,,
83,0.0935,0.5,131.1RGQL,397.1RGQL,29.1QL,,,,,
84,0.1866,0.5,440.1RGQL,323.1QL,39.1QL,306.1QL,139.1QL,244.1QL,490.1QL,
85,0.0967,0.5,113.1RGQL,41.1RGQL,210.1QL,362.1QL,,,,
86,0.0912,0.5,370.1RGQL,523.1RGQL,296.1RGQL,,,,,
87,0.1297,0.5,34.1RGQL,420.1RGQL,352.1RGQL,406.1RGQL,145.1QL,20.1QL,271.1QL,
88,0.0882,0.5,347.1RGQL,358.1RGQL,282.1QL,9.1QL,,,,
89,0.1046,0.5,383.1RGQL,274.1QL,238.1QL,349.1QL,216.1QL,88.1QL,501.1QL,
90,0.0971,0.5,134.1RGQL,40.1RGQL,74.1QL,243.1QL,,,,
91,0.1016,0.5,37.1RGQL,186.1QL,167.1QL,69.1QL,172.1QL,409.1QL,,
92,0.096,0.5,399.1RGQL,378.1QL,16.1QL,357.1QL,99.1QL,402.1QL,,
93,0.0754,0.5,83.1QL,160.1QL,,,,,,
94,0.2469,0.5,298.1QL,334.1QL,286.1QL,204.1QL,281.1QL,,,
95,0.1266,0.5,475.1QL,51.1QL,401.1QL,398.1QL,,,,
96,0.0675,0.5,302.1QL,241.1QL,272.1QL,525.1QL,,,,
97,0.187,0.5,395.1QL,469.1QL,77.1QL,155.1QL,283.1QL,27.1QL,479.1QL,222.1QL
98,0.1008,0.5,217.1QL,263.1QL,135.1QL,59.1QL,,,,
99,0.0977,0.5,301.1QL,340.1QL,427.1QL,245.1QL,332.1QL,285.1QL,,
100,0.0967,0.5,422.1QL,44.1QL,191.1QL,60.1QL,257.1QL,,,
101,0.1016,0.5,76.1QL,369.1QL,208.1QL,320.1QL,300.1QL,165.1QL,416.1QL,
102,0.1014,0.5,22.1QL,12.1QL,142.1QL,374.1QL,317.1QL,463.1QL,489.1QL,
103,0.0915,0.5,250.1QL,425.1QL,449.1QL,497.1QL,,,,
104,0.0979,0.5,205.1QL,231.1QL,267.1QL,382.1QL,,,,
105,0.0498,0.5,202.1QL,56.1QL,268.1QL,187.1QL,522.1QL,330.1QL,295.1QL,7.1QL
106,0.092,0.5,189.1QL,107.1QL,308.1QL,412.1QL,185.1QL,,,
107,0.0764,0.5,450.1QL,407.1QL,109.1QL,38.1QL,95.1QL,157.1QL,219.1QL,19.1QL
108,0.082,0.5,307.1QL,314.1QL,152.1QL,,,,,
109,0.0938,0.5,79.1QL,459.1QL,468.1QL,493.1QL,,,,
110,0.0756,0.5,3.1QL,47.1QL,78.1QL,125.1QL,,,,
111,0.0932,0.5,266.1QL,512.1QL,368.1QL,92.1QL,338.1QL,,,
112,0.0973,0.5,234.1QL,42.1QL,389.1QL,506.1QL,465.1QL,430.1QL,,
