Collection site,name0,name1,Al1,Al2,Al3,Al4,Al5,Al6,Al7,Old prob,Cluster
UNISYD,104.2RGSYD8,104.2RG,157,143,175,154,206,233,137,0.950166692,PC2018
UNISYD,68.2RGSYD8,68.2RG,159,152,184,152,201,231,137,0.95023727,PC2018
1 Oberon Cresc,47.8RGSYD8,47.8RG,166,143,175,150,203,235,137,0.950736531,PC2018
92 Griffiths St. balgowlah,51.18RGSYD8,51.18RG,170,143,187,152,203,235,137,0.951578484,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,97.19RGSYD8,97.19RG,172,143,184,152,206,235,149,0.951589553,PC2018
38 Park Ave Ashfield,17.12RGSYD8,17.12RG,159,146,178,150,203,233,137,0.951843457,PC2018
25 Strickland Ave.,6.4RGSYD8,6.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
25 Strickland Ave.,9.4RGSYD8,9.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
25 Strickland Ave.,26.4RGSYD8,26.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,55.19RGSYD8,55.19RG,172,143,181,152,209,231,149,0.951887297,PC2018
92 Griffiths St. balgowlah,27.18RGSYD8,27.18RG,159,146,175,132,201,231,149,0.952069974,PC2018
92 Griffiths St. balgowlah,101.18RGSYD8,101.18RG,159,146,178,152,209,233,153,0.952128148,PC2018
67-71 Eton St Sutherland,13.6RGSYD8,13.6RG,159,146,184,154,205,233,153,0.9523445,PC2018
67-71 Eton St Sutherland,86.6RGSYD8,86.6RG,170,146,178,154,201,231,137,0.952374754,PC2018
430 Mona Vale Rd.,134.1RGSYD8,134.1RG,166,146,181,152,201,233,149,0.952434528,PC2018
67-71 Eton St Sutherland,89.6RGSYD8,89.6RG,172,146,184,152,201,231,137,0.95261112,PC2018
92 Griffiths St. balgowlah,172.18RGSYD8,172.18RG,159,152,181,152,201,235,149,0.952815174,PC2018
25 Strickland Ave.,50.4RGSYD8,50.4RG,161,143,175,152,209,231,153,0.952858813,PC2018
38 Park Ave Ashfield,111.12RGSYD8,111.12RG,166,146,184,152,203,233,137,0.95287822,PC2018
8 Treatts Rd,18.5RGSYD8,18.5RG,166,143,184,154,203,233,137,0.953166058,PC2018
92 Griffiths St. balgowlah,181.18RGSYD8,181.18RG,168,146,184,152,210,235,137,0.953316262,PC2018
92 Griffiths St. balgowlah,121.18RGSYD8,121.18RG,170,146,175,172,203,233,149,0.953458395,PC2018
430 Mona Vale Rd.,149.3RGSYD8,149.3RG,170,143,181,134,205,235,149,0.953640064,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,18.19RGSYD8,18.19RG,159,146,184,154,201,233,140,0.954201131,PC2018
4 Goodlet St. Surry Hills,8.17RGSYD8,8.17RG,170,146,184,154,205,235,153,0.954427189,PC2018
92 Griffiths St. balgowlah,175.18RGSYD8,175.18RG,170,143,178,154,205,231,137,0.954496625,PC2018
67-71 Eton St Sutherland,47.6RGSYD8,47.6RG,172,143,175,134,203,235,149,0.955251869,PC2018
7th Fourth Avenue Jannali,43.11RGSYD8,43.11RG,159,143,184,138,203,233,153,0.955300473,PC2018
430 Mona Vale Rd.,25.3RGSYD8,25.3RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,27.1RGSYD8,27.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,42.1RGSYD8,42.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,43.1RGSYD8,43.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,44.1RGSYD8,44.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,67.3RGSYD8,67.3RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,103.1RGSYD8,103.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,120.1RGSYD8,120.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,140.1RGSYD8,140.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,150.1RGSYD8,150.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,157.1RGSYD8,157.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
4 Goodlet St. Surry Hills,89.7RGSYD8,89.7RG,168,143,181,152,203,235,140,0.956181427,PC2018
67-71 Eton St Sutherland,109.6RGSYD8,109.6RG,172,143,175,150,203,235,153,0.956760635,PC2018
UNISYD,94.2RGSYD8,94.2RG,168,146,178,152,210,233,149,0.95699648,PC2018
20 Philip Rd Mona Vale,1.9RGSYD8,1.9RG,168,143,178,154,210,233,149,0.95725973,PC2018
92 Griffiths St. balgowlah,60.18RGSYD8,60.18RG,168,143,175,152,205,235,157,0.957577939,PC2018
Strickland Avenue 25,5.15RGSYD8,5.15RG,161,143,175,152,205,235,153,0.95794265,PC2018
25 Strickland Ave.,42.4RGSYD8,42.4RG,161,143,175,152,205,235,153,0.95794265,PC2018
beauford Ave Ros parents,48.14RGSYD8,48.14RG,159,143,181,160,209,233,149,0.958237363,PC2018
430 Mona Vale Rd.,146.1RGSYD8,146.1RG,168,143,175,152,212,233,153,0.958643606,PC2018
20 Philip Rd Mona Vale,73.9RGSYD8,73.9RG,161,143,184,152,205,233,153,0.958842724,PC2018
92 Griffiths St. balgowlah,122.18RGSYD8,122.18RG,168,143,184,150,205,233,140,0.959017688,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,43.19RGSYD8,43.19RG,170,146,184,164,201,233,149,0.959281113,PC2018
UNISYD,124.2RGSYD8,124.2RG,157,146,184,154,201,235,137,0.959656957,PC2018
1 Oberon Cresc,39.8RGSYD8,39.8RG,170,143,175,164,205,235,149,0.96024989,PC2018
20 Philip Rd Mona Vale,21.9RGSYD8,21.9RG,168,143,175,148,209,235,137,0.960309286,PC2018
UNISYD,24.2RGSYD8,24.2RG,168,152,175,154,201,235,137,0.960544816,PC2018
Ros House Woodland street,80.13RGSYD8,80.13RG,168,143,175,132,201,235,153,0.960825371,PC2018
Ros House Woodland street,63.13RGSYD8,63.13RG,159,143,187,150,203,233,149,0.96087433,PC2018
67-71 Eton St Sutherland,75.6RGSYD8,75.6RG,172,143,175,138,201,235,149,0.960883631,PC2018
4 Goodlet St. Surry Hills,42.17RGSYD8,42.17RG,168,143,184,132,201,233,153,0.961664992,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,154.19RGSYD8,154.19RG,168,143,184,154,206,231,137,0.961784311,PC2018
20 Philip Rd Mona Vale,76.9RGSYD8,76.9RG,172,143,175,150,205,233,153,0.96226972,PC2018
UNISYD,108.2RGSYD8,108.2RG,159,140,175,152,203,233,137,0.962398268,PC2018
92 Griffiths St. balgowlah,66.18RGSYD8,66.18RG,159,146,181,152,205,231,137,0.962531191,PC2018
430 Mona Vale Rd.,103.3RGSYD8,103.3RG,159,152,175,152,201,233,140,0.962786292,PC2018
92 Griffiths St. balgowlah,36.18RGSYD8,36.18RG,159,146,184,150,206,233,137,0.962899111,PC2018
8 Treatts Rd,57.5RGSYD8,57.5RG,159,143,184,150,209,235,140,0.963140389,PC2018
430 Mona Vale Rd.,131.1RGSYD8,131.1RG,159,149,175,152,201,235,149,0.963172472,PC2018
beauford Ave Ros parents,85.14RGSYD8,85.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
beauford Ave Ros parents,108.14RGSYD8,108.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
beauford Ave Ros parents,118.14RGSYD8,118.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
beauford Ave Ros parents,129.14RGSYD8,129.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
Ros House Woodland street,114.13RGSYD8,114.13RG,157,143,178,150,203,233,137,0.963824029,PC2018
1 Oberon Cresc,69.8RGSYD8,69.8RG,168,143,175,134,210,231,149,0.964321482,PC2018
92 Griffiths St. balgowlah,28.18RGSYD8,28.18RG,168,146,184,154,205,231,137,0.964523518,PC2018
38 Park Ave Ashfield,100.12RGSYD8,100.12RG,159,143,175,134,205,235,153,0.964565107,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,93.19RGSYD8,93.19RG,159,143,175,145,203,235,149,0.964827056,PC2018
92 Griffiths St. balgowlah,160.18RGSYD8,160.18RG,168,146,184,152,203,231,140,0.965117289,PC2018
38 Park Ave Ashfield,57.12RGSYD8,57.12RG,159,143,184,134,205,233,153,0.965326028,PC2018
92 Griffiths St. balgowlah,77.18RGSYD8,77.18RG,168,146,175,150,206,235,137,0.965518839,PC2018
UNISYD,133.2RGSYD8,133.2RG,159,146,175,154,206,233,153,0.965798195,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,76.19RGSYD8,76.19RG,159,146,184,152,203,233,157,0.965906251,PC2018
92 Griffiths St. balgowlah,167.18RGSYD8,167.18RG,159,146,184,152,203,233,157,0.965906251,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,181.19RGSYD8,181.19RG,168,143,184,152,197,231,149,0.966091384,PC2018
67-71 Eton St Sutherland,85.6RGSYD8,85.6RG,170,146,175,152,201,229,149,0.966270218,PC2018
92 Griffiths St. balgowlah,24.18RGSYD8,24.18RG,170,159,175,152,205,233,149,0.966437536,PC2018
92 Griffiths St. balgowlah,33.18RGSYD8,33.18RG,170,159,175,152,205,233,149,0.966437536,PC2018
38 Park Ave Ashfield,64.12RGSYD8,64.12RG,168,146,181,154,203,235,137,0.966710309,PC2018
Ros House Woodland street,119.13RGSYD8,119.13RG,157,143,175,150,209,233,140,0.966758613,PC2018
67-71 Eton St Sutherland,94.6RGSYD8,94.6RG,170,146,187,154,201,233,149,0.96682237,PC2018
92 Griffiths St. balgowlah,141.18RGSYD8,141.18RG,168,146,184,134,201,233,153,0.96698878,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,182.19RGSYD8,182.19RG,168,146,184,152,209,235,140,0.967243926,PC2018
Ros House Woodland street,32.13RGSYD8,32.13RG,157,152,175,150,203,233,149,0.967439836,PC2018
38 Park Ave Ashfield,135.12RGSYD8,135.12RG,159,143,178,152,210,233,153,0.967736023,PC2018
4 Goodlet St. Surry Hills,30.17RGSYD8,30.17RG,166,146,175,150,203,233,137,0.967879878,PC2018
92 Griffiths St. balgowlah,127.18RGSYD8,127.18RG,168,143,184,148,201,231,137,0.967880227,PC2018
beauford Ave Ros parents,113.14RGSYD8,113.14RG,170,143,175,152,201,232,137,0.967885209,PC2018
Strickland Avenue 25,14.15RGSYD8,14.15RG,161,143,175,152,205,231,153,0.968046782,PC2018
25 Strickland Ave.,36.4RGSYD8,36.4RG,161,143,175,152,205,231,153,0.968046782,PC2018
UNISYD,17.2RGSYD8,17.2RG,159,152,175,150,203,235,137,0.968138994,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,159.19RGSYD8,159.19RG,168,146,175,150,210,235,137,0.9681808,PC2018
UNISYD,25.2RGSYD8,25.2RG,168,143,178,152,206,233,153,0.968207575,PC2018
4 Goodlet St. Surry Hills,6.17RGSYD8,6.17RG,157,146,175,148,201,233,149,0.968374301,PC2018
430 Mona Vale Rd.,2.1RGSYD8,2.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,3.1RGSYD8,3.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,16.1RGSYD8,16.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,28.1RGSYD8,28.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,70.1RGSYD8,70.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,74.1RGSYD8,74.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,76.1RGSYD8,76.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,79.1RGSYD8,79.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,91.1RGSYD8,91.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,92.1RGSYD8,92.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,122.1RGSYD8,122.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,123.1RGSYD8,123.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
430 Mona Vale Rd.,141.1RGSYD8,141.1RG,159,143,178,138,209,233,149,0.968375433,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,9.19RGSYD8,9.19RG,157,143,175,180,203,233,149,0.969106461,PC2018
UNISYD,50.2RGSYD8,50.2RG,159,146,175,152,195,235,137,0.969319896,PC2018
4 Goodlet St. Surry Hills,52.17RGSYD8,52.17RG,157,146,184,154,201,231,137,0.969355837,PC2018
UNISYD,27.2RGSYD8,27.2RG,157,146,175,160,203,233,149,0.969361624,PC2018
Ros House Woodland street,99.13RGSYD8,99.13RG,168,146,175,154,203,235,140,0.96962762,PC2018
Ros House Woodland street,55.13RGSYD8,55.13RG,159,143,175,145,203,233,137,0.969631763,PC2018
92 Griffiths St. balgowlah,86.18RGSYD8,86.18RG,159,146,184,148,201,233,137,0.969719768,PC2018
38 Park Ave Ashfield,43.12RGSYD8,43.12RG,170,152,175,150,201,231,153,0.969872846,PC2018
UNISYD,19.2RGSYD8,19.2RG,163,143,184,152,201,233,137,0.96989089,PC2018
92 Griffiths St. balgowlah,58.18RGSYD8,58.18RG,159,146,184,134,201,231,137,0.970319895,PC2018
Ros House Woodland street,75.13RGSYD8,75.13RG,157,146,184,150,203,235,137,0.97037655,PC2018
38 Park Ave Ashfield,150.12RGSYD8,150.12RG,172,146,184,154,203,233,137,0.971182339,PC2018
4 Goodlet St. Surry Hills,68.17RGSYD8,68.17RG,170,146,184,132,201,235,137,0.971749806,PC2018
430 Mona Vale Rd.,128.3RGSYD8,128.3RG,170,149,175,152,201,233,153,0.971771574,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,67.19RGSYD8,67.19RG,157,143,184,150,206,233,137,0.972169435,PC2018
UNISYD,117.2RGSYD8,117.2RG,157,146,175,154,203,235,153,0.972699646,PC2018
4 Goodlet St. Surry Hills,71.17RGSYD8,71.17RG,168,143,178,134,203,231,149,0.972792325,PC2018
92 Griffiths St. balgowlah,109.18RGSYD8,109.18RG,168,143,184,180,205,233,149,0.972837787,PC2018
20 Philip Rd Mona Vale,80.9RGSYD8,80.9RG,159,146,178,150,205,235,149,0.973048098,PC2018
UNISYD,32.2RGSYD8,32.2RG,159,146,178,150,203,235,137,0.973318212,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,136.19RGSYD8,136.19RG,159,146,175,152,203,231,157,0.973552495,PC2018
UNISYD,29.2RGSYD8,29.2RG,159,146,175,134,203,235,153,0.973559948,PC2018
8 Treatts Rd,51.5RGSYD8,51.5RG,170,146,184,152,197,233,137,0.973623032,PC2018
92 Griffiths St. balgowlah,48.18RGSYD8,48.18RG,159,143,175,148,201,233,140,0.97363599,PC2018
UNISYD,122.2RGSYD8,122.2RG,157,143,175,152,203,235,157,0.973871447,PC2018
beauford Ave Ros parents,6.14RGSYD8,6.14RG,170,146,181,160,209,233,149,0.974008382,PC2018
beauford Ave Ros parents,80.14RGSYD8,80.14RG,170,146,181,160,209,233,149,0.974008382,PC2018
beauford Ave Ros parents,130.14RGSYD8,130.14RG,170,146,181,160,209,233,149,0.974008382,PC2018
1 Oberon Cresc,51.8RGSYD8,51.8RG,170,146,175,172,203,235,149,0.974222741,PC2018
430 Mona Vale Rd.,53.3RGSYD8,53.3RG,166,143,184,134,203,233,149,0.974323809,PC2018
25 Strickland Ave.,8.4RGSYD8,8.4RG,161,143,184,152,209,231,153,0.974450397,PC2018
25 Strickland Ave.,48.4RGSYD8,48.4RG,161,143,184,152,209,231,153,0.974450397,PC2018
UNISYD,13.2RGSYD8,13.2RG,168,143,178,160,201,233,137,0.974722686,PC2018
UNISYD,126.2RGSYD8,126.2RG,168,143,178,160,201,233,137,0.974722686,PC2018
38 Park Ave Ashfield,49.12RGSYD8,49.12RG,157,143,184,150,203,233,140,0.974765507,PC2018
Ros House Woodland street,60.13RGSYD8,60.13RG,170,152,181,154,201,233,137,0.974785229,PC2018
4 Goodlet St. Surry Hills,45.17RGSYD8,45.17RG,157,146,175,134,203,233,137,0.974884414,PC2018
20 Philip Rd Mona Vale,145.9RGSYD8,145.9RG,166,143,178,152,201,235,137,0.975258924,PC2018
UNISYD,2.2RGSYD8,2.2RG,159,143,184,134,210,233,137,0.975854305,PC2018
4 Goodlet St. Surry Hills,13.17RGSYD8,13.17RG,159,146,184,150,209,233,140,0.976021629,PC2018
1 Oberon Cresc,14.8RGSYD8,14.8RG,159,143,184,182,201,231,149,0.976114238,PC2018
92 Griffiths St. balgowlah,130.18RGSYD8,130.18RG,168,146,178,152,210,235,149,0.976202011,PC2018
Ros House Woodland street,105.13RGSYD8,105.13RG,157,146,175,154,205,233,153,0.976203209,PC2018
4 Goodlet St. Surry Hills,3.17RGSYD8,3.17RG,168,146,184,150,201,235,140,0.976260918,PC2018
1 Oberon Cresc,44.8RGSYD8,44.8RG,168,146,184,150,201,235,140,0.976260918,PC2018
20 Philip Rd Mona Vale,152.9RGSYD8,152.9RG,172,143,175,150,209,231,153,0.976593672,PC2018
430 Mona Vale Rd.,19.3RGSYD8,19.3RG,170,143,184,134,206,233,153,0.97677333,PC2018
25 Strickland Ave.,18.4RGSYD8,18.4RG,161,143,184,152,205,235,153,0.977233521,PC2018
25 Strickland Ave.,21.4RGSYD8,21.4RG,161,143,184,152,205,235,153,0.977233521,PC2018
25 Strickland Ave.,43.4RGSYD8,43.4RG,161,143,184,152,205,235,153,0.977233521,PC2018
92 Griffiths St. balgowlah,98.18RGSYD8,98.18RG,168,146,175,152,209,235,157,0.977433458,PC2018
UNISYD,76.2RGSYD8,76.2RG,159,146,187,152,201,231,149,0.977479676,PC2018
Ros House Woodland street,41.13RGSYD8,41.13RG,159,143,178,154,203,233,140,0.977934906,PC2018
Strickland Avenue 25,8.15RGSYD8,8.15RG,168,152,175,152,209,231,153,0.978159218,PC2018
25 Strickland Ave.,35.4RGSYD8,35.4RG,168,152,175,152,209,231,153,0.978159218,PC2018
20 Philip Rd Mona Vale,22.9RGSYD8,22.9RG,170,146,175,150,205,231,140,0.978252969,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,147.19RGSYD8,147.19RG,170,143,169,150,203,235,149,0.978455162,PC2018
UNISYD,72.2RGSYD8,72.2RG,168,132,184,152,201,235,137,0.978526304,PC2018
7th Fourth Avenue Jannali,8.11RGSYD8,8.11RG,172,143,175,152,199,233,149,0.978693165,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,2.19RGSYD8,2.19RG,159,143,184,132,210,233,149,0.978870295,PC2018
beauford Ave Ros parents,31.14RGSYD8,31.14RG,159,146,181,160,203,233,149,0.978917144,PC2018
beauford Ave Ros parents,36.14RGSYD8,36.14RG,159,146,181,160,203,233,149,0.978917144,PC2018
beauford Ave Ros parents,100.14RGSYD8,100.14RG,159,146,181,160,203,233,149,0.978917144,PC2018
beauford Ave Ros parents,135.14RGSYD8,135.14RG,159,146,181,160,203,233,149,0.978917144,PC2018
8 Treatts Rd,91.5RGSYD8,91.5RG,157,146,175,134,209,235,149,0.979279821,PC2018
Ros House Woodland street,22.13RGSYD8,22.13RG,159,152,175,154,209,233,153,0.979543804,PC2018
8 Treatts Rd,88.5RGSYD8,88.5RG,168,140,175,150,201,235,149,0.97955052,PC2018
20 Philip Rd Mona Vale,57.9RGSYD8,57.9RG,157,143,184,150,205,235,153,0.979632263,PC2018
Ros House Woodland street,143.13RGSYD8,143.13RG,168,146,181,152,209,233,140,0.979680379,PC2018
20 Philip Rd Mona Vale,46.9RGSYD8,46.9RG,157,146,181,152,201,235,153,0.980111841,PC2018
67-71 Eton St Sutherland,9.6RGSYD8,9.6RG,157,143,184,152,195,231,149,0.980229462,PC2018
7th Fourth Avenue Jannali,74.11RGSYD8,74.11RG,168,143,181,138,201,233,153,0.980412687,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,142.19RGSYD8,142.19RG,168,143,178,154,206,231,149,0.980560987,PC2018
38 Park Ave Ashfield,131.12RGSYD8,131.12RG,159,143,184,160,201,233,140,0.980628627,PC2018
4 Goodlet St. Surry Hills,31.17RGSYD8,31.17RG,159,146,184,154,201,231,140,0.980771707,PC2018
38 Park Ave Ashfield,79.12RGSYD8,79.12RG,168,143,181,148,203,233,137,0.981303641,PC2018
38 Park Ave Ashfield,95.12RGSYD8,95.12RG,168,143,181,148,203,233,137,0.981303641,PC2018
38 Park Ave Ashfield,102.12RGSYD8,102.12RG,168,143,181,148,203,233,137,0.981303641,PC2018
430 Mona Vale Rd.,117.1RGSYD8,117.1RG,166,143,175,134,209,235,149,0.981323631,PC2018
92 Griffiths St. balgowlah,35.18RGSYD8,35.18RG,159,146,178,154,209,235,137,0.981560949,PC2018
92 Griffiths St. balgowlah,69.18RGSYD8,69.18RG,159,143,184,148,201,231,153,0.981888816,PC2018
92 Griffiths St. balgowlah,43.18RGSYD8,43.18RG,168,146,175,180,205,233,149,0.981970514,PC2018
Ros House Woodland street,170.13RGSYD8,170.13RG,157,146,175,154,206,233,137,0.98206123,PC2018
Ros House Woodland street,127.13RGSYD8,127.13RG,159,132,184,152,201,231,137,0.982090266,PC2018
92 Griffiths St. balgowlah,30.18RGSYD8,30.18RG,166,143,175,150,210,235,149,0.982194245,PC2018
20 Philip Rd Mona Vale,55.9RGSYD8,55.9RG,170,143,187,152,209,235,153,0.982274871,PC2018
20 Philip Rd Mona Vale,150.9RGSYD8,150.9RG,170,146,187,152,205,235,149,0.982400474,PC2018
92 Griffiths St. balgowlah,74.18RGSYD8,74.18RG,159,146,184,150,201,233,157,0.982415861,PC2018
25 Strickland Ave.,32.4RGSYD8,32.4RG,161,143,184,152,205,231,153,0.98274472,PC2018
38 Park Ave Ashfield,99.12RGSYD8,99.12RG,159,152,184,150,203,235,137,0.982794893,PC2018
4 Goodlet St. Surry Hills,2.17RGSYD8,2.17RG,168,143,187,150,203,233,137,0.98304531,PC2018
Ros House Woodland street,133.13RGSYD8,133.13RG,168,143,187,150,203,233,137,0.98304531,PC2018
Ros House Woodland street,25.13RGSYD8,25.13RG,170,146,175,134,206,235,137,0.983399817,PC2018
67-71 Eton St Sutherland,176.6RGSYD8,176.6RG,159,143,184,132,203,235,153,0.98341499,PC2018
92 Griffiths St. balgowlah,105.18RGSYD8,105.18RG,170,143,184,150,205,235,157,0.983956107,PC2018
UNISYD,23.2RGSYD8,23.2RG,159,143,181,150,205,233,140,0.984552077,PC2018
92 Griffiths St. balgowlah,22.18RGSYD8,22.18RG,159,146,184,134,201,231,153,0.984803223,PC2018
beauford Ave Ros parents,93.14RGSYD8,93.14RG,159,146,184,132,201,233,153,0.984868521,PC2018
8 Treatts Rd,80.5RGSYD8,80.5RG,170,143,184,150,195,235,153,0.984964573,PC2018
beauford Ave Ros parents,19.14RGSYD8,19.14RG,159,146,181,160,209,233,149,0.985007031,PC2018
beauford Ave Ros parents,42.14RGSYD8,42.14RG,159,146,181,160,209,233,149,0.985007031,PC2018
beauford Ave Ros parents,121.14RGSYD8,121.14RG,159,146,181,160,209,233,149,0.985007031,PC2018
20 Philip Rd Mona Vale,79.9RGSYD8,79.9RG,170,143,175,148,206,231,137,0.985013019,PC2018
UNISYD,102.2RGSYD8,102.2RG,159,132,175,150,201,233,153,0.985110965,PC2018
UNISYD,123.2RGSYD8,123.2RG,159,132,175,150,201,233,153,0.985110965,PC2018
20 Philip Rd Mona Vale,108.9RGSYD8,108.9RG,157,143,184,134,206,233,149,0.985252073,PC2018
25 Strickland Ave.,22.4RGSYD8,22.4RG,168,152,175,152,205,231,153,0.985258631,PC2018
20 Philip Rd Mona Vale,119.9RGSYD8,119.9RG,163,143,175,150,205,233,149,0.985301163,PC2018
430 Mona Vale Rd.,14.1RGSYD8,14.1RG,159,143,187,150,201,235,137,0.98554495,PC2018
UNISYD,137.2RGSYD8,137.2RG,159,132,175,154,209,233,137,0.985705493,PC2018
67-71 Eton St Sutherland,138.6RGSYD8,138.6RG,172,146,184,154,205,233,137,0.986155141,PC2018
Ros House Woodland street,123.13RGSYD8,123.13RG,159,143,184,160,203,233,140,0.986229575,PC2018
92 Griffiths St. balgowlah,170.18RGSYD8,170.18RG,157,146,184,134,203,233,137,0.986459115,PC2018
430 Mona Vale Rd.,36.3RGSYD8,36.3RG,166,143,175,154,209,231,153,0.98673398,PC2018
20 Philip Rd Mona Vale,50.9RGSYD8,50.9RG,157,143,175,134,206,233,137,0.987002742,PC2018
Ros House Woodland street,169.13RGSYD8,169.13RG,159,146,184,152,195,231,137,0.987456302,PC2018
92 Griffiths St. balgowlah,81.18RGSYD8,81.18RG,157,143,184,164,203,233,149,0.987459908,PC2018
UNISYD,99.2RGSYD8,99.2RG,159,146,184,134,205,233,153,0.987581213,PC2018
7th Fourth Avenue Jannali,108.11RGSYD8,108.11RG,170,152,184,154,201,233,140,0.987607716,PC2018
UNISYD,1.2RGSYD8,1.2RG,157,146,184,154,201,233,140,0.987682552,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,138.19RGSYD8,138.19RG,168,146,184,152,197,231,149,0.987858415,PC2018
4 Goodlet St. Surry Hills,98.7RGSYD8,98.7RG,159,146,184,154,203,233,157,0.987867302,PC2018
Ros House Woodland street,35.13RGSYD8,35.13RG,159,146,178,150,205,233,153,0.988111315,PC2018
Strickland Avenue 25,19.15RGSYD8,19.15RG,168,152,184,152,209,231,153,0.9882338,PC2018
20 Philip Rd Mona Vale,99.9RGSYD8,99.9RG,157,132,175,150,203,233,149,0.988348552,PC2018
beauford Ave Ros parents,9.14RGSYD8,9.14RG,157,146,184,150,203,231,153,0.988514937,PC2018
20 Philip Rd Mona Vale,77.9RGSYD8,77.9RG,163,146,184,152,209,233,149,0.988538307,PC2018
Ros House Woodland street,104.13RGSYD8,104.13RG,161,146,175,152,206,235,137,0.988629406,PC2018
92 Griffiths St. balgowlah,89.18RGSYD8,89.18RG,168,143,175,156,201,233,140,0.988821552,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,112.19RGSYD8,112.19RG,157,143,175,164,205,233,149,0.988837193,PC2018
Ros House Woodland street,137.13RGSYD8,137.13RG,159,146,175,145,203,233,137,0.989138848,PC2018
4 Goodlet St. Surry Hills,24.17RGSYD8,24.17RG,161,146,178,154,203,233,149,0.989170738,PC2018
25 Strickland Ave.,13.4RGSYD8,13.4RG,161,152,175,152,209,231,149,0.989181928,PC2018
25 Strickland Ave.,56.4RGSYD8,56.4RG,161,152,175,152,209,231,149,0.989181928,PC2018
92 Griffiths St. balgowlah,145.18RGSYD8,145.18RG,159,143,175,178,203,233,137,0.989248746,PC2018
UNISYD,115.2RGSYD8,115.2RG,159,143,169,150,203,233,137,0.989297314,PC2018
38 Park Ave Ashfield,92.12RGSYD8,92.12RG,168,143,181,132,201,231,137,0.989299463,PC2018
67-71 Eton St Sutherland,168.6RGSYD8,168.6RG,168,143,175,154,206,233,157,0.989422155,PC2018
92 Griffiths St. balgowlah,21.18RGSYD8,21.18RG,168,146,175,150,206,233,140,0.989494479,PC2018
Ros House Woodland street,39.13RGSYD8,39.13RG,157,143,187,150,203,233,149,0.989503967,PC2018
UNISYD,71.2RGSYD8,71.2RG,168,146,178,154,205,233,153,0.989515704,PC2018
25 Strickland Ave.,37.4RGSYD8,37.4RG,168,152,184,152,205,235,153,0.989523554,PC2018
