old fam,,,,,,,,,,,,,
1,1,0.096,233.3RGQL,145.3RGQL,,,,,,,,,
2,1,0.3306,363.3RGQL,179.3RGQL,371.3RGQL,,,,,,,,
3,1,0.098,457.3RGQL,167.3RGQL,,,,,,,,,
4,1,0.1021,181.3RGQL,333.3RGQL,,,,,,,,,
5,1,0.0908,232.3RGQL,119.3RGQL,,,,,,,,,
6,1,0.0768,449.3RGQL,84.3RGQL,91.3RGQL,289.3QL,,,,,,,
7,0.9868,0.0938,148.3RGQL,151.3RGQL,237.3QL,,,,,,,,
8,1,0.2053,115.3RGQL,347.3RGQL,77.3RGQL,95.3RGQL,,,,,,,
9,1,0.0966,76.3RGQL,128.3RGQL,,,,,,,,,
10,0.9002,0.7493,240.3RGQL,258.3RGQL,469.3RGQL,403.3RGQL,326.3QL,,,,,,
11,0.9993,0.0947,26.3RGQL,404.3QL,,,,,,,,,
12,0.9949,0.097,291.3RGQL,295.3RGQL,,,,,,,,,
13,1,0.3185,256.3RGQL,21.3RGQL,423.3RGQL,117.3QL,,,,,,,
14,1,0.3756,360.3RGQL,31.3RGQL,380.3RGQL,131.3QL,,,,,,,
15,0.9948,0.1322,303.3RGQL,446.3RGQL,,,,,,,,,
16,1,0.2401,193.3RGQL,234.3RGQL,8.3QL,261.3QL,40.3QL,,,,,,
17,0.845,0.1435,325.3RGQL,427.3QL,392.3QL,230.3QL,,,,,,,
18,0.4772,0.0441,452.3RGQL,300.3RGQL,,,,,,,,,
19,0.4669,0.0457,282.3RGQL,92.3RGQL,352.3RGQL,,,,,,,,
20,1,0.2294,187.3RGQL,290.3RGQL,101.3RGQL,384.3QL,,,,,,,
21,1,0.0878,336.3RGQL,287.3RGQL,,,,,,,,,
22,0.9233,0.0866,458.3RGQL,86.3QL,,,,,,,,,
23,1,0.6879,463.3RGQL,351.3RGQL,107.3RGQL,407.3RGQL,,,,,,,
24,1,0.1271,426.3RGQL,247.3RGQL,467.3QL,,,,,,,,
25,0.2945,0.0312,393.3RGQL,29.3QL,43.3QL,,,,,,,,
26,1,0.4066,48.3RGQL,110.3RGQL,152.3RGQL,243.3RGQL,,,,,,,
27,1,0.599,284.3RGQL,204.3RGQL,65.3RGQL,111.3RGQL,339.3RGQL,,,,,,
28,1,0.2721,146.3RGQL,186.3RGQL,455.3RGQL,294.3RGQL,,,,,,,
29,1,0.2928,323.3RGQL,365.3RGQL,214.3RGQL,,,,,,,,
30,1,0.2162,480.3RGQL,249.3RGQL,304.3QL,362.3QL,,,,,,,
31,0.3993,0.0983,52.3RGQL,394.3RGQL,32.3RGQL,56.3RGQL,,,,,,,
32,0.784,0.1519,314.3RGQL,395.3RGQL,6.3RGQL,432.3RGQL,218.3QL,267.3QL,,,,,
33,1,0.9281,334.3RGQL,368.3RGQL,42.3RGQL,420.3RGQL,,,,,,,
34,0.7919,0.5639,313.3RGQL,316.3RGQL,324.3RGQL,227.3QL,49.3QL,,,,,,
35,1,0.5118,20.3RGQL,113.3RGQL,104.3RGQL,430.3RGQL,,,,,,,
36,1,0.0949,171.3RGQL,82.3RGQL,,,,,,,,,
37,1,0.1662,183.3RGQL,14.3RGQL,422.3QL,358.3QL,156.3QL,,,,,,
38,0.2969,0.029,443.3RGQL,438.3RGQL,,,,,,,,,
39,1,0.2254,444.3RGQL,374.3RGQL,411.3RGQL,424.3QL,494.3QL,,,,,,
40,1,0.1989,22.3RGQL,118.3RGQL,61.3QL,,,,,,,,
41,0.2744,0.0265,17.3RGQL,129.3QL,33.3QL,75.3QL,,,,,,,
42,0.9949,0.079,357.3RGQL,215.3RGQL,361.3QL,,,,,,,,
43,1,0.3668,317.3RGQL,337.3RGQL,67.3RGQL,209.3RGQL,439.3QL,330.3QL,406.3QL,,,,
44,1,0.2281,496.3RGQL,223.3QL,160.3QL,54.3QL,408.3QL,,,,,,
45,1,0.3296,44.3RGQL,329.3RGQL,288.3QL,476.3QL,,,,,,,
46,0.9828,0.3594,162.3RGQL,68.3RGQL,474.3QL,,,,,,,,
47,1,0.1198,447.3RGQL,278.3RGQL,440.3QL,89.3QL,163.3QL,168.3QL,,,,,
48,1,0.5834,242.3RGQL,369.3RGQL,99.3RGQL,410.3RGQL,348.3QL,,,,,,
49,1,0.1003,482.3RGQL,453.3QL,112.3QL,431.3QL,220.3QL,,,,,,
