Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
509,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,4.313707790970511e-05
510,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
512,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
513,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
528,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
529,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
539,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
543,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
546,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
563,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.8662133726349168
566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
567,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0.0755605675259412
569,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.5626156686992476
571,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.276822714688858
572,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0.21156368670330394
573,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.08326451666355039
587,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7100281378519226
594,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0005320055051392103
595,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,4.313707790970511e-05
596,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0.0005320055051392103
597,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4.3204630539861455e-08
598,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.014305878435429742
599,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0.0005320055051392103
601,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.014305878435429742
602,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4.3204630539861455e-08
603,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.014305878435429742
605,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08326451666355039
606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.08326451666355039
607,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.014305878435429742
608,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.0005320055051392103
610,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.276822714688858
611,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,4.313707790970511e-05
612,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
613,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.014305878435429742
614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.08326451666355039
615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.08326451666355039
617,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.08326451666355039
618,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0005320055051392103
619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.08326451666355039
620,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.276822714688858
621,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4.3204630539861455e-08
622,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0005320055051392103
623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.08326451666355039
624,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4.3204630539861455e-08
625,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.014305878435429742
626,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0005320055051392103
627,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0005320055051392103
628,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.014305878435429742
635,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.276822714688858
636,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7100281378519226
638,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08326451666355039
641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.08326451666355039
642,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.014305878435429742
644,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.014305878435429742
646,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.08326451666355039
647,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.014305878435429742
648,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08326451666355039
649,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.014305878435429742
651,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08326451666355039
656,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.08326451666355039
657,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.014305878435429742
658,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.08326451666355039
659,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.08326451666355039
664,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.08326451666355039
665,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.08326451666355039
684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.08326451666355039
