Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
113,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.009823274507519297
114,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.00010751117672946897
117,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
119,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0.12873504895794774
120,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0.12873504895794774
121,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.8662133726349168
122,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.11384629800665769
123,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0755605675259412
127,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.5257060830333564
128,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.8662133726349168
129,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0.21156368670330394
130,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0.6963619219820587
131,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0.5034000494530544
132,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.8899519866505381
133,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0015654022580025018
134,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0.6963619219820585
135,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.276822714688858
138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
139,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
140,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038433930236781766
142,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1.0
143,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.8899519866505381
144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
145,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.8899519866505381
146,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0.011139332097004129
149,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0.6963619219820578
152,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.038433930236781766
154,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0.4243278351260509
155,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0.6963619219820583
159,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
161,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5626156686992476
162,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.038433930236781544
163,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1.0
164,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.28042097222936957
167,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.21156368670330417
170,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.2825564792379551
171,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0.8899519866505372
173,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.5626156686992478
174,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
175,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0.5034000494530544
177,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.276822714688858
179,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0755605675259412
181,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8662133726349168
182,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0.2804209722293698
184,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.866213372634917
185,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.009823274507519297
186,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0.12873504895794774
187,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0.5034000494530544
188,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0.00010751117672946897
189,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0.6963619219820587
190,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.8899519866505381
191,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.11384629800665813
192,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8662133726349168
193,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0.8662133726349175
195,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038433930236781766
196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7100281378519226
201,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.5257060830333564
203,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.5034000494530544
205,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0.6963619219820583
